user,pro bjp ratio,pro congress ratio,anti bjp ratio,anti congress ratio,percent of hashtags used,number of annotated hashtags,not neutral,total hashtags
912876113642242048,0.2857142857142857,0.0,0.5714285714285714,0.0,0.02843601895734597,6,210,626
137319673,0.7777777777777778,0.0,0.037037037037037035,0.14814814814814814,0.33766233766233766,26,76,165
835123593684058112,0.5,0.0,0.0,0.0,0.019230769230769232,1,51,84
2572063615,0.0,0.0,0.8888888888888888,0.0,0.1951219512195122,8,40,78
2559366396,0.7142857142857143,0.0,0.14285714285714285,0.0,0.23076923076923078,6,25,48
1109482428496670720,0.45454545454545453,0.0,0.45454545454545453,0.0,0.15625,10,63,188
4832225493,0.9556786703601108,0.0,0.002770083102493075,0.038781163434903045,0.4904632152588556,360,733,1181
1357681921,0.5,0.0,0.25,0.0,0.07142857142857142,3,41,104
57201922,0.9743589743589743,0.0,0.0,0.0,0.4222222222222222,38,89,200
2560709892,0.5714285714285714,0.0,0.0,0.2857142857142857,0.3157894736842105,6,18,45
1068529333772394496,0.18181818181818182,0.0,0.7727272727272727,0.0,0.1640625,21,127,312
4302771073,0.8,0.0,0.0,0.1,0.6923076923076923,9,12,26
1337210120,0.625,0.0,0.0,0.25,0.3888888888888889,7,17,31
140752137,0.9777777777777777,0.0,0.0,0.0,0.3492063492063492,44,125,235
996573175650570240,0.9575757575757575,0.0,0.006060606060606061,0.030303030303030304,0.5125,164,319,560
979850508,0.7727272727272727,0.0,0.022727272727272728,0.18181818181818182,0.19907407407407407,43,215,347
926473719026933760,0.75,0.0,0.0,0.0,0.019736842105263157,3,151,326
867096620000792576,0.9090909090909091,0.0,0.0,0.0,0.2857142857142857,10,34,88
175303592,0.9375,0.0,0.0,0.0,0.42857142857142855,15,34,65
891212174701379584,0.96,0.0,0.0,0.0,0.09448818897637795,24,253,687
3108566294,0.0,0.0,0.5,0.0,0.1,1,9,28
327963928,0.75,0.0,0.0,0.0,0.75,3,3,14
885758912674369537,0.8395061728395061,0.0,0.0,0.14814814814814814,0.5333333333333333,80,149,258
3281711419,0.9954887218045113,0.0,0.0,0.0030075187969924814,0.6574257425742575,664,1009,1648
398567443,0.8412698412698413,0.0,0.015873015873015872,0.12698412698412698,0.4696969696969697,62,131,247
937492158231252997,0.7714285714285715,0.0,0.0,0.2,0.37362637362637363,34,90,135
172692765,0.16666666666666666,0.0,0.6666666666666666,0.0,0.02564102564102564,5,194,507
560248094,0.75,0.0,0.05,0.15,0.5277777777777778,19,35,122
784076633623756800,0.3333333333333333,0.0,0.3333333333333333,0.0,0.2857142857142857,2,6,13
4686591264,0.1111111111111111,0.0,0.7777777777777778,0.0,0.09302325581395349,8,85,307
762465395705950208,0.8801369863013698,0.0,0.003424657534246575,0.11301369863013698,0.379400260756193,291,766,1175
852219170,0.3333333333333333,0.0,0.0,0.3333333333333333,0.015503875968992248,2,128,207
488334214,0.8125,0.0,0.0,0.125,0.5172413793103449,15,28,65
318797563,0.0,0.0,0.0,0.0,0.0,0,12,17
1086171668291162113,0.9076923076923077,0.0,0.0,0.07692307692307693,0.48484848484848486,64,131,285
972531016270319617,0.10144927536231885,0.0,0.8840579710144928,0.0,0.22006472491909385,68,308,638
908326492718764034,0.9863013698630136,0.0,0.0,0.0,0.6923076923076923,72,103,134
747738415,0.7575757575757576,0.0,0.21212121212121213,0.0,0.3333333333333333,32,95,156
1680397616,0.9492753623188406,0.0,0.0,0.043478260869565216,0.48928571428571427,137,279,553
796676618458693633,0.0,0.0,0.0,0.0,0.0,0,6,34
135861555,0.937888198757764,0.0,0.006211180124223602,0.053830227743271224,0.35131195335276966,482,1371,1854
3867587892,0.19047619047619047,0.0,0.7619047619047619,0.0,0.07633587786259542,20,261,655
82310025,0.8,0.0,0.0,0.0,0.0425531914893617,4,93,291
18445624,0.3333333333333333,0.0,0.3333333333333333,0.0,0.014388489208633094,2,138,155
2902582392,0.9444444444444444,0.0,0.009259259259259259,0.037037037037037035,0.46120689655172414,107,231,462
934368809737117696,0.95,0.0,0.01,0.03,0.43805309734513276,99,225,476
2238904543,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0625,2,31,62
338933052,0.5,0.0,0.45454545454545453,0.0,0.10396039603960396,21,201,415
930929248516284417,0.75,0.0,0.0,0.0,0.08823529411764706,3,33,57
973895695366320129,0.09090909090909091,0.0,0.8636363636363636,0.0,0.12574850299401197,21,166,324
272806704,0.9333333333333333,0.0,0.0,0.0,0.3783783783783784,14,36,79
3024221504,0.0,0.0,0.5,0.0,0.022222222222222223,1,44,111
1055279328,0.25,0.0,0.7142857142857143,0.0,0.17532467532467533,27,153,353
1060143860389683202,0.0,0.0,0.0,0.0,0.0,0,12,38
159831364,0.0,0.0,0.0,0.0,0.0,0,29,56
1540396358,0.0,0.0,0.6666666666666666,0.0,0.07407407407407407,2,26,88
2346308935,0.5,0.0,0.0,0.0,0.030303030303030304,1,32,88
958573333938831360,0.6666666666666666,0.0,0.0,0.16666666666666666,0.35714285714285715,5,13,23
1933374348,0.8666666666666667,0.0,0.016666666666666666,0.1,0.3224043715846995,59,182,387
2556499274,0.25,0.0,0.5,0.0,0.04918032786885246,3,60,122
1354380620,0.0,0.0,0.5,0.0,0.1,1,9,30
756396406752043009,0.14285714285714285,0.0,0.7142857142857143,0.0,0.05454545454545454,6,109,254
123311438,0.0,0.0,0.75,0.0,0.01764705882352941,3,169,429
980109465201516544,0.4,0.0,0.4,0.0,0.2857142857142857,4,13,44
