,user_id,screen_name
362,1131542748387954688,PiyushS68291559
363,880291041433141248,Afjalhu27472724
364,1111882937757138944,Anandshah76529
365,2241123475,iAroraDeepak
366,1070479582837403649,JubileePost
367,2375326596,DevenSaluja
368,114691507,riteshpali
369,776734853312249857,IlangoDrs
370,784813003870965760,lovely_Phaaji
371,174250834,kashinath1984
372,613791504,tterIndia
373,820999876737544192,Rajeev7521
374,1052274934536257537,Sulemanbux1
375,128470323,lallamitabh
376,715499108018970624,NagrajChinnappa
377,752170352218763265,newsswarnatela2
378,886560113934442496,Azad_NR
379,3251409553,Suchetha_Pai
380,938737347155214336,Samanakhan786
381,851636768696696837,Indiaisoneonly
382,75216041,albypanakalam
383,873953155683196930,VinBisht8888
384,742375062477492228,shashi_up
385,781672299346989056,BK_Bhartiy2
386,924978773560139776,sadashiva_ra
387,2943490536,tinkuhaweli
388,2596023157,Aaapwala
389,318797563,PradMitt
390,2654174101,Rajeev63Rk
391,762465395705950208,Divyamshu_2010
392,968953448,illuminantsj
393,1092428620281204736,kingofjourno123
394,1341425636,RiteshRocker89
395,1049297819503288321,arpispeaks
396,2294725748,ahsanrao7
397,873819412293341185,shaurya261
398,906199321128738816,RKTShukla1
399,150100297,jj_joshmachine
400,754516753141542912,gaurav271090
401,4592251107,IndianNewsViews
402,1052958679954321414,kshitijkabir
403,1021317564,paliwalbhuwan4
404,156240791,coolmrom
405,100677589,cpraghav
406,516452320,Sachinchandel28
407,3032268924,TTeerandaz
408,1730425278,NagpurKaRajini
409,796037424375689216,kshazia210
410,988855537,AlamgirTheGreat
411,3882632003,AJAYKUPAL
412,959611050197794816,JauntyBlue
413,1159282230,arunthakur_19
414,4799735977,AFRN09
415,228787500,Vishwaamitra
416,86676615,Ja3AAP
417,899110722872852481,Arunpatel93
418,942506208853819393,my_prema
419,47522509,bhrgvr
420,836264444921511936,AmanKJhooti
421,798567589949612032,vijay_rajendar
422,1328830842,mksingh151985
423,1094842266332610560,leslieknope02
424,18445624,RameshManglani
425,378130660,DCSSN
426,230646803,mdpatel_
427,877785646827491328,Shekhar31503986
428,583916452,ajoybahadursbi
429,744496193733013504,Chatterj1Asking
430,3197490212,DextrousNinja
431,1097451610219913221,Vikrams52519842
432,303118274,prasannasagar_m
433,873005739173756929,KejrivalkaKiran
434,2524324980,abhish001
435,247446196,Kumar_Ke5hav
436,609749120,Rajnahd
437,3166918903,sreerajeshn
438,495695185,ShivamAgarwalUK
439,988107449658986497,NoorAnsari123
440,856187141222748160,MksRiyazuddin
441,722102814160326656,KumarRohitsing
442,1040526580387176448,AmitTom82427130
443,750533955896614912,GirishC1964
444,981890868150808577,kaushalya_shah
445,326110973,TurkMd
446,101149451,itsallryt
447,220361898,Ishu2015
448,883351617386541058,rk1rajpoot
449,1056947062074413058,matavaishno_inc
450,372321689,nemityadav1
451,433509555,khanfarooq95
452,843486637682278400,Marya_anjani
453,1085743152881897473,Rajeshbhanjan2
454,1119631931153551362,INCVinayPandey
455,3695513005,IamTezaa
456,986179738648662016,tony_jatinder
457,3066400088,vipin123panwar
458,1105472033561825280,KC__88849452
459,778970360205209600,Raju_Speaks
460,1570767128,fls53
461,384750384,tweet2012_13
462,854418403670360064,SureshPatelJi
463,118125468,dev8546
464,120970645,pononline
465,898765061958717441,Haquesahebppji
466,845211923738251266,AamIndian_1
467,2202654654,kadavasach1
468,713182049020936194,bhaskarjha79
469,3523826112,IndianBechara
470,743105446018322432,SirAdilMallick
471,970215867035222017,HemantK35267469
472,2173500380,DhjPvt
473,1185530629,DeafCrescendo
474,596338421,Raees_Sajed
475,715254145,Kuldeepshukla19
476,974343010426109953,ZakiAnsari123
477,1109163883082637312,MeghUpdates
478,1114391741979856896,rathirajendra3
479,1713183018,unkownhindu
480,2453616230,GagandeepAap
481,2156057491,aaisha_gere
482,155004791,Arunabh_ch
483,746041429,md_salim1969
484,75240465,Gyan_p_mishra
485,1479352976,ModiBharosa
486,997973534994558978,yuvraj_singh07
487,1448637420,subsharma740
488,717180000215048193,ISHWARLALSAHU4
489,472061347,Mdfaisaliqbal
490,1058230554741506049,KSSahSln
491,142238984,mgnayak5
492,615208988,V1SH4L
493,611471775,NaSTiK_Zal
494,239293197,rajattwittes
495,144537609,hirajesh1087
496,2893681884,ammarkhansbg
497,296688992,mukeshjune
498,1972294314,RAJEEVPATHAK18
499,357402912,nimeshaghera
500,783943971642994688,abhaypratpsingh
501,3338007854,SaffronAvnish
502,747859210382249984,Army__fan
503,1015194001790701568,tanveerjk1
504,723913555909685249,iamyogiupadhye
505,1118836308087123968,LKasyap2
506,593382831,MSTrulyHisGrace
507,775218081580933120,DeadlyNdian
508,841551521204584448,neetarakesh227
509,856216647987863554,TasleemQadri2
510,1687851446,Ranjiar
511,182353357,shaileshmishra8
512,135419981,VikashKashi
513,862636972120064000,DrVijaiShanker2
514,1094029023708106753,___Rathorrrrrr
